Gene;Ratio;p_value;FDR;hits
SYVN1;1,288234467;0,480785414;0,80557377;FALSE
TTC3;0,938273623;0,476942496;0,80557377;FALSE
PARP11;0,672168662;0,475287518;0,804940618;FALSE
OTUD4;0,932111534;0,470462833;0,798666667;FALSE
PHIP;1,060483269;0,468527349;0,797279236;FALSE
RNF125;0,857715822;0,466676017;0,796028708;FALSE
USP20;1,385148351;0,4657223;0,796028708;FALSE
TSG101;0,831357624;0,465582048;0,796028708;FALSE
UBE2Z;0,69346123;0,465582048;0,796028708;FALSE
VPS41;1,151545597;0,46513324;0,796028708;FALSE
POC1B;1,111082408;0,463590463;0,796028708;FALSE
FBXO25;1,018390139;0,463253857;0,796028708;FALSE
BARD1;0,841598419;0,462468443;0,796028708;FALSE
ABTB1;1,063434755;0,462440393;0,796028708;FALSE
ASB11;0,814503727;0,462103787;0,796028708;FALSE
TRIM27;0,739534098;0,460476858;0,796028708;FALSE
KBTBD7;1,091501191;0,45943899;0,796028708;FALSE
FBXL6;0,952620832;0,459130435;0,796028708;FALSE
UBE2D1;0,857338185;0,454165498;0,796028708;FALSE
RNF123;1,140078709;0,446676017;0,788316832;FALSE
RNF149;0,753055789;0,446058906;0,788316832;FALSE
USP24;0,907160707;0,444740533;0,788316832;FALSE
WDR5;1,198362612;0,440645161;0,783491272;FALSE
CORO7;0,896580784;0,439859748;0,783491272;FALSE
RNFT1;1,266172883;0,437784011;0,782305764;FALSE
FBXW10;0,925506983;0,432173913;0,774221106;FALSE
CADPS2;1,521977968;0,429985975;0,772241814;FALSE
HERC3;0,869125861;0,428723703;0,771919192;FALSE
KCTD10;1,135124103;0,42687237;0,770531646;FALSE
ATXN3L;0,896102319;0,425301543;0,76964467;FALSE
BTRC;1,318628714;0,423870968;0,769007634;FALSE
WDR82;1,496794188;0,423197756;0,769007634;FALSE
BACH2;1,243527089;0,42112202;0,767928389;FALSE
WDR26;1,050290391;0,41887798;0,765794872;FALSE
RHOBTB1;0,716581581;0,418653576;0,765794872;FALSE
RPL7;0,933452996;0,412678822;0,758350515;FALSE
ZFP91;0,586495448;0,412678822;0,758350515;FALSE
PELI3;0,80814712;0,411697055;0,758350515;FALSE
BIRC8;0,974755838;0,411500701;0,758350515;FALSE
BIRC6;0,829203471;0,409901823;0,758350515;FALSE
TRAF3;0,905479509;0,4085554;0,758350515;FALSE
MKRN1;0,909325009;0,406143058;0,758062827;FALSE
LTN1;1,179321757;0,402103787;0,752493438;FALSE
CDCA3;1,082534047;0,40173913;0,752493438;FALSE
USP35;0,763179594;0,400673212;0,752493438;FALSE
KBTBD2;0,879740687;0,398681627;0,752010582;FALSE
HERC4;0,823946799;0,397391304;0,751564987;FALSE
RACK1;0,702955956;0,395063114;0,749148936;FALSE
DCAF6;0,982657703;0,393772791;0,748693333;FALSE
RBCK1;1,270657759;0,393520337;0,748693333;FALSE
HERC6;0,839523857;0,393380084;0,748693333;FALSE
RNF19A;1,528788152;0,393211781;0,748693333;FALSE
CDC34;1,16505491;0,391107994;0,748693333;FALSE
DCAF10;1,166279066;0,390014025;0,748693333;FALSE
BACH1;1,199954524;0,387237027;0,748238482;FALSE
PRKN;0,705543768;0,386171108;0,748206522;FALSE
FBXL15;1,277338825;0,38457223;0,747138965;FALSE
IRF2BP1;1,195844717;0,384207574;0,747138965;FALSE
RPL24;0,909623189;0,383253857;0,747138965;FALSE
RNF26;1,351201035;0,38171108;0,747138965;FALSE
KLHL13;0,996077162;0,381037868;0,747138965;FALSE
RC3H1;1,156553483;0,379046283;0,746574586;FALSE
HERC2;1,22956732;0,377671809;0,745927978;FALSE
GRWD1;1,078574889;0,377419355;0,745927978;FALSE
BRCC3;1,543318265;0,3771669;0,745927978;FALSE
ANAPC10;1,153649098;0,376661992;0,745927978;FALSE
SPOP;1,205538444;0,376072931;0,745927978;FALSE
RNF7;1,202555432;0,375119215;0,745927978;FALSE
RNF4;1,18312527;0,374754558;0,745927978;FALSE
RLIM;1,050914356;0,369228612;0,743672316;FALSE
